ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,Part code,Sell Inc Vat,Cost,Logo Image,Image 1,Image 2,Image 3
9349,Vauxhall,Astra,K,2015,2020,"1.0i Turbo,1.4i,1.6 CDTI",125/80/17,"17""",RH127,249,155,Picture,Picture,Picture,Picture
9360,Vauxhall,Astra,K,2015,2020,"1.4i Turbo,1.6 CDTI",125/80/17,"17""",RH127,249,155,Picture,Picture,Picture,Picture
9366,Vauxhall,Astra,K,2015,2020,1.6i Turbo,125/80/17,"17""",RH127,249,155,Picture,Picture,Picture,Picture
9348,Vauxhall,Astra,K Facelift,2020,,"1.2 T,1.4 T,1.5 D",135/80/17,"17""",RH154,249,155,Picture,Picture,Picture,Picture
10655,Vauxhall,Astra,L,2022,,"1.2,1.2 T,1.5 D,1.6 Hybrid,EV",125/80/17,"17""",RH111,249,155,Picture,Picture,Picture,Picture
9356,Vauxhall,Astra GTC,J,2011,2018,"1.4i Turbo,1.6 CDTi,1.7 CDTi,1.8i,2.0 CDTi",145/80/18,"18""",RH140,299,182.5,Picture,Picture,Picture,Picture
9374,Vauxhall,Astra GTC,J,2011,2018,"1.6i Turbo,2.0 CDTi",145/80/18,"18""",RH140,299,182.5,Picture,Picture,Picture,Picture
9392,Vauxhall,Astra GTC,J,2011,2018,2.0i Turbo,145/80/18,"18""",RH140,299,182.5,Picture,Picture,Picture,Picture
9357,Vauxhall,Astra VXR,J,2011,2018,2.0i Turbo,135/80/17,"17""",RH153,249,155,Picture,Picture,Picture,Picture
9358,Vauxhall,Cascada,A,2013,2018,"1.4i Turbo,2.0 CDTI",145/80/18,"18""",RH140,299,182.5,Picture,Picture,Picture,Picture
9363,Vauxhall,Cascada,A,2013,2018,"1.6i Turbo,2.0 CDTI",145/80/18,"18""",RH140,299,182.5,Picture,Picture,Picture,Picture
9362,Vauxhall,Combo,C,2001,2011,"1.3 CDTi,1.4i,1.7 CDTi",125/80/15,"15""",RH003,199,125,Picture,Picture,Picture,Picture
9359,Vauxhall,Combo,D,2012,2018,"1.3 CDTi,1.4i,1.6 CDTi",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
9369,Vauxhall,Combo,D,2012,2018,2.0 CDTi,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
9361,Vauxhall,Combo,E,2018,,"1.2 T,1.5 D,1.6",135/80/17,"17""",RH160,249,155,Picture,Picture,Picture,Picture
9368,Vauxhall,Combo,E,2018,,"1.2 T,1.5 D",135/80/17,"17""",RH160,249,155,Picture,Picture,Picture,Picture
9364,Vauxhall,Combo Cargo,E,2019,,"1.2 T,1.5 D",135/80/17,"17""",RH160,249,155,Picture,Picture,Picture,Picture
9372,Vauxhall,Combo Cargo,E,2019,,"1.2 T,1.5 D",135/80/17,"17""",RH160,249,155,Picture,Picture,Picture,Picture
9370,Vauxhall,Combo Life,E,2019,,"1.2 T,1.5 D",135/80/17,"17""",RH160,249,155,Picture,Picture,Picture,Picture
9378,Vauxhall,Corsa,D,2006,2011,"1.0i,1.2i,1.3 CDTi,1.4i",125/80/15,"15""",RH003,199,125,Picture,Picture,Picture,Picture
9393,Vauxhall,Corsa,D,2006,2011,1.7 CDTi,125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9382,Vauxhall,Corsa,D Facelift,2011,2014,"1.0i,1.2i,1.3 CDTi,1.4i",125/80/15,"15""",RH003,199,125,Picture,Picture,Picture,Picture
9397,Vauxhall,Corsa,D Facelift,2011,2014,1.7 CDTi,125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9373,Vauxhall,Corsa,E,2014,2019,"1.0i Turbo,1.2i,1.3 CDTi,1.4i",125/80/15,"15""",RH003,199,125,Picture,Picture,Picture,Picture
9389,Vauxhall,Corsa,E,2014,2019,"1.4i Turbo, 1.6i Turbo",125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9375,Vauxhall,Corsa,F,2019,,"1.2,1.5 D",125/80/17,"17""",RH054,249,155,Picture,Picture,Picture,Picture
9386,Vauxhall,Corsa,F,2019,,"1.2 T,EV",125/80/17,"17""",RH054,249,155,Picture,Picture,Picture,Picture
9380,Vauxhall,Corsa VXR,A,2007,2014,1.6i Turbo,125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9377,Vauxhall,Corsa VXR,B,2015,2018,1.6i Turbo,125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9387,Vauxhall,Corsavan,D,2006,2011,"1.2i,1.3 CDTi",125/80/15,"15""",RH003,199,125,Picture,Picture,Picture,Picture
